TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
18:45;G.A. Eagles;Aston Villa;885;6.6;4.9;1.43;2.55;1.5;2.27;1.65;4.25;1.95
18:45;Genk;Betis;882;2.95;3.8;2.23;2.3;1.6;2.52;1.5;3.9;1.83
18:45;Lyon;Basel;893;1.57;4.55;5.1;2.6;1.48;2.2;1.53;3.95;1.8
18:45;Salzburg;Ferencvaros;884;2.0;3.85;3.45;2.17;1.67;2.72;1.57;4.25;1.97
18:45;AEK;Aberdeen;870;1.27;6.0;10.0;2.45;1.53;2.33;1.97;5.0;2.32
18:45;Breidablik;KuPS;884;2.07;3.8;3.05;2.3;1.6;2.5;1.5;3.9;1.83
18:45;Drita;Omonia;880;3.55;3.45;1.92;2.05;1.7;2.8;1.57;4.3;1.97
18:45;Hacken;Rayo Vallecano;881;4.25;3.95;1.75;2.2;1.65;2.65;1.6;4.3;1.97
18:45;Rijeka;Sparta Prague;881;3.3;3.45;2.07;1.88;1.9;3.3;1.7;4.75;2.23
18:45;SK Rapid;Fiorentina;880;3.25;3.55;2.13;1.95;1.82;3.05;1.65;4.55;2.12
18:45;Shakhtar D.;Legia;886;1.77;3.8;4.15;2.03;1.77;2.95;1.7;4.65;2.12
18:45;Shkendija;Shelbourne;874;2.13;3.3;3.4;1.67;2.17;4.0;1.88;5.35;2.57
18:45;Strasbourg;Jagiellonia;880;1.47;4.55;5.9;2.37;1.57;2.42;1.67;4.4;2.03
20:00;Baltika;Lokomotiv M.;766;2.45;3.4;2.75;1.75;2.0;3.6;1.77;4.95;2.37
20:00;Al Najma;Al Ahli SC;775;12.0;7.0;1.15;2.75;1.38;2.0;2.0;4.9;2.27
21:00;Celta;Nice;900;1.77;3.9;4.65;2.1;1.77;2.9;1.7;4.6;2.1
21:00;Celtic;Sturm;876;1.45;4.7;6.75;2.3;1.63;2.52;1.77;4.65;2.13
21:00;Freiburg;Utrecht;873;1.53;4.15;6.2;2.05;1.77;2.9;1.85;5.0;2.3
21:00;Lille;PAOK;883;1.6;4.1;5.45;2.0;1.8;3.0;1.82;4.95;2.28
21:00;M. Tel Aviv;Midtjylland;889;3.1;3.55;2.23;2.0;1.82;3.05;1.63;4.5;2.1
21:00;Malmo FF;Dinamo Zagreb;877;2.95;3.35;2.42;1.8;2.0;3.55;1.75;4.9;2.33
21:00;Nottingham;Porto;903;2.35;3.3;3.2;1.88;1.95;3.4;1.73;4.85;2.28
21:00;Roma;Plzen;881;1.32;5.3;8.25;2.5;1.52;2.28;1.8;4.7;2.12
21:00;Young Boys;Ludogorets;879;1.83;3.6;4.35;1.93;1.87;3.2;1.75;4.85;2.23
21:00;AZ Alkmaar;Slovan Bratislava;873;1.28;5.8;8.25;2.7;1.45;2.13;1.73;4.45;2.03
21:00;Crystal Palace;AEK Larnaca;860;1.15;6.75;15.0;2.55;1.48;2.23;2.3;5.7;2.65
21:00;Hamrun;Lausanne;868;5.8;4.2;1.45;2.1;1.67;2.7;1.77;4.8;2.18
21:00;Lincoln RI;Lech Poznan;869;12.0;6.7;1.2;2.75;1.43;2.07;1.97;4.95;2.27
21:00;Mainz;Zrinjski;864;1.22;6.25;11.0;2.4;1.55;2.4;2.1;5.3;2.47
21:00;Samsunspor;Dyn. Kyiv;881;1.88;3.6;3.95;1.85;1.9;3.3;1.75;4.85;2.25
21:00;Shamrock;Celje;878;3.65;3.6;1.97;1.92;1.83;3.15;1.67;4.65;2.18
21:00;Sigma Olomouc;Rakow;877;2.8;3.2;2.5;1.75;2.03;3.65;1.77;4.95;2.37
21:00;Univ. Craiova;Noah;878;1.9;3.5;4.05;1.9;1.85;3.15;1.72;4.75;2.2
21:00;Exeter;Plymouth;769;2.95;3.35;2.37;1.93;1.77;3.05;1.62;4.45;2.1
23:30;Cerro Porteno;Gen. Caballero;748;1.67;3.1;5.9;1.57;2.23;4.25;2.2;6.25;3.05
00:00;U. De Chile;Lanus;776;2.63;2.95;2.95;1.47;2.6;5.4;2.17;6.5;3.2
00:00;Universidad O&M;Cibao;392;3.2;3.3;2.1;1.7;2.03;3.6;1.88;5.1;2.45
02:10;Def. Belgrano;Argentinos Jrs;758;3.35;3.05;2.23;1.53;2.37;4.65;2.03;5.9;2.9
02:30;LDU Quito;Palmeiras;776;2.95;2.95;2.65;1.5;2.6;5.3;2.15;6.3;3.1
03:00;Sporting Cristal;U. de Deportes;761;2.95;3.1;2.35;1.62;2.15;4.0;1.87;5.25;2.57
03:00;Venados;Tampico Madero;389;2.2;3.25;2.9;1.95;1.73;2.9;1.6;4.33;2.05
04:00;Alajuelense;Olimpia;756;1.87;3.45;3.8;1.88;1.8;3.1;1.7;4.65;2.18
10:30;PSBS Biak;Persebaya;766;4.7;4.15;1.57;2.2;1.6;2.55;1.63;4.35;2.0
10:35;Newcastle Jets;Melbourne Victory;807;2.85;3.85;2.18;2.55;1.5;2.25;1.45;3.5;1.7
13:35;Meizhou Hakka;Yunnan Yukun;773;1.65;4.2;4.1;2.9;1.35;1.92;1.38;3.35;1.6
13:35;Wuhan TT;Shenzhen Xinpengcheng;768;2.15;3.4;3.05;2.05;1.67;2.75;1.57;4.2;1.97
14:00;Montana;Arda;756;3.6;3.05;2.15;1.55;2.3;4.45;2.0;5.8;2.85
14:00;Madura Utd;Persija Jakarta;762;3.7;3.45;1.9;1.85;1.85;3.2;1.72;4.7;2.2
14:00;Port MTI FC;Muang Thong Utd;766;1.95;3.55;3.55;2.0;1.75;2.9;1.62;4.45;2.05
16:00;Napredak;Vojvodina;787;3.85;3.45;1.85;1.9;1.82;3.1;1.7;4.65;2.15
16:00;Erzurum BB;Umraniyespor;751;1.35;4.6;8.75;1.9;1.8;3.1;2.2;5.9;2.75
16:15;Kamaz;Yenisey;760;2.15;3.1;3.5;1.6;2.23;4.25;1.95;5.6;2.75
16:30;Csikszereda M. Ciuc;Petrolul;786;2.7;3.05;2.68;1.6;2.3;4.35;1.97;5.45;2.7
16:30;Spartak Varna;Botev Plovdiv;762;3.9;3.4;1.92;1.8;1.92;3.4;1.77;4.9;2.32
16:45;Al-Fateh;Al Ettifaq;798;2.1;3.9;2.78;2.5;1.45;2.17;1.4;3.5;1.67
17:30;Novi Pazar;Javor;785;1.75;3.4;4.45;1.8;1.88;3.35;1.8;5.0;2.33
17:30;Partizan;Mladost L.;772;1.2;5.6;11.0;2.2;1.57;2.5;2.25;5.8;2.68
17:30;Neom SC;Al Khaleej;795;2.0;3.9;3.0;2.25;1.57;2.47;1.48;3.85;1.82
17:30;Aluminij;Bravo;770;3.5;3.55;1.97;2.05;1.72;2.85;1.62;4.35;2.05
18:00;Termalica B-B.;Zaglebie;797;2.45;3.5;2.75;2.1;1.73;2.85;1.6;4.2;2.0
18:00;A. Klagenfurt;Sturm Graz II;792;1.7;4.15;4.1;2.3;1.57;2.47;1.57;4.1;1.9
18:00;Bregenz;Kapfenberg;794;2.6;3.5;2.52;2.12;1.67;2.72;1.55;4.15;1.97
18:00;First Vienna;Admira;785;3.6;3.5;1.97;1.72;2.07;3.75;1.88;5.2;2.52
18:00;Liefering;St. Polten;796;3.5;3.95;1.88;2.23;1.63;2.6;1.55;4.15;1.9
18:00;Stripfing;Hertha Wels;792;2.03;3.55;3.35;1.95;1.8;3.05;1.67;4.6;2.15
18:00;Gorica;Hajduk Split;783;4.5;3.6;1.75;1.75;1.97;3.55;1.9;5.2;2.47
18:00;Pruszkow;Puszcza;769;2.45;3.4;2.68;2.0;1.7;2.85;1.57;4.25;2.0
18:30;Greuther Furth;Karlsruher;799;2.78;3.7;2.37;2.4;1.55;2.4;1.48;3.65;1.77
18:30;Schalke;Darmstadt;796;2.27;3.5;3.1;2.1;1.73;2.85;1.6;4.2;2.0
18:30;Arsenal Tula;Ural;760;3.2;3.0;2.33;1.57;2.27;4.33;1.95;5.6;2.72
19:00;Wehen;Aachen;793;1.97;3.7;3.45;2.07;1.67;2.75;1.57;4.25;2.0
19:00;Karagumruk;Kayserispor;794;2.28;3.45;3.05;2.1;1.73;2.85;1.57;4.3;2.0
19:00;Aarhus;Nordsjaelland;798;1.8;3.85;4.1;2.33;1.63;2.55;1.6;4.05;1.9
19:00;Lok. Sofia;Lok. Plovdiv;756;2.15;3.05;3.6;1.55;2.3;4.45;2.0;5.75;2.8
19:00;Sivasspor;Hatayspor;761;1.37;5.1;7.1;2.3;1.55;2.42;1.77;4.6;2.13
19:00;B.93;Horsens;766;4.0;3.8;1.8;2.05;1.7;2.8;1.63;4.4;2.03
19:00;Kolding IF;Middelfart;759;1.45;4.4;6.4;2.07;1.67;2.72;1.83;4.85;2.25
19:00;Orgryte;Vasteras;776;2.9;3.7;2.23;2.45;1.52;2.32;1.45;3.7;1.77
19:30;Stade Nyonnais;Yverdon;764;5.5;4.3;1.52;2.25;1.57;2.47;1.67;4.35;2.0
19:30;Xamax;Rapperswil;770;1.92;3.7;3.6;2.15;1.63;2.62;1.55;4.15;1.92
19:30;Arges;Din. Bucuresti;786;3.15;3.1;2.33;1.65;2.18;4.1;1.92;5.25;2.6
19:45;Torreense;Oliveirense;760;1.65;3.9;4.75;1.9;1.83;3.15;1.83;4.95;2.32
20:00;Heerenveen;Breda;799;1.8;3.9;4.2;2.45;1.57;2.4;1.55;3.85;1.83
20:00;Bastia;Laval;777;2.13;3.0;3.85;1.5;2.6;5.3;2.23;6.5;3.2
20:00;Guingamp;Clermont;791;1.72;3.9;4.6;1.93;1.88;3.2;1.83;4.85;2.28
20:00;Le Mans;Boulogne;783;2.0;3.25;3.95;1.67;2.18;4.05;1.97;5.4;2.65
20:00;Pau;Dunkerque;794;2.18;3.3;3.35;1.92;1.88;3.25;1.72;4.6;2.23
20:00;Red Star;Grenoble;790;1.77;3.55;4.65;1.9;1.92;3.35;1.85;4.9;2.33
20:00;Reims;Troyes;789;2.07;3.45;3.5;1.85;1.97;3.45;1.8;4.8;2.33
20:00;Almere City;Jong AZ;798;1.73;4.1;4.0;2.7;1.42;2.07;1.43;3.45;1.65
20:00;De Graafschap;Jong PSV;803;1.55;4.85;4.65;3.4;1.3;1.75;1.37;3.0;1.5
20:00;Eindhoven;Venlo;798;3.0;3.7;2.13;2.28;1.57;2.47;1.5;3.8;1.82
20:00;Helmond;Dordrecht;801;2.12;3.95;2.9;2.75;1.42;2.05;1.38;3.3;1.6
20:00;Jong Ajax;FC Emmen;802;3.05;4.0;2.05;2.95;1.37;1.93;1.35;3.15;1.55
20:00;Jong Utrecht;Oss;796;2.4;3.7;2.62;2.23;1.6;2.55;1.52;3.85;1.83
20:00;Vitesse;Roda;795;2.9;3.4;2.3;2.05;1.73;2.85;1.6;4.15;2.0
20:00;Waalwijk;Cambuur;800;2.85;3.75;2.2;2.55;1.48;2.2;1.42;3.45;1.67
20:00;Al-Ittihad;Al-Hilal Riyadh;800;3.55;4.2;1.75;3.3;1.27;1.73;1.28;2.85;1.45
20:00;Francs Borains;Gent U23;768;2.23;3.25;3.0;1.9;1.8;3.05;1.63;4.5;2.12
20:00;Seraing;K. Lierse;769;2.63;3.5;2.37;2.0;1.7;2.85;1.57;4.25;2.0
20:15;Aarau;Wil;767;1.62;4.1;4.8;2.15;1.63;2.62;1.65;4.45;2.03
20:30;Werder;Union Berlin;884;2.2;3.6;3.3;2.05;1.8;3.0;1.63;4.45;2.1
20:30;Modena;Empoli;782;1.82;3.3;5.1;1.7;2.2;4.1;2.1;5.7;2.78
20:30;Huesca;Las Palmas;772;2.9;2.9;2.7;1.42;2.8;6.0;2.27;6.7;3.4
