TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
11:00;Sub;25.10.;NOR3;Follo;Strommen;502;6.4;5.25;1.35;3.3;1.05;1.29;1.5;3.2;1.62
11:00;Sub;25.10.;NOR3;Honefoss;Asker;501;1.28;5.8;7.4;3.8;1.03;1.22;1.47;3.1;1.57
11:00;Sub;25.10.;NOR3;Kjelsas;Alta;501;1.38;5.25;5.75;3.85;1.03;1.22;1.38;2.85;1.48
11:00;Sub;25.10.;NOR3;Levanger;Strindheim;502;1.38;5.15;5.9;3.35;1.05;1.28;1.45;3.1;1.58
11:00;Sub;25.10.;NOR3;Rana;Stjordals Blink;503;2.7;4.1;2.13;3.2;1.06;1.3;1.31;2.8;1.45
11:00;Sub;25.10.;NOR3;Tromsdalen;Grorud;503;1.9;3.95;3.25;2.95;1.08;1.35;1.35;2.95;1.52
11:00;Sub;25.10.;RUS1;Spartak Moscow;Orenburg;674;1.3;5.7;8.4;2.7;1.1;1.42;1.75;3.95;1.97
11:00;Sub;25.10.;RUS2;Saratov;Ulyanovsk;501;2.75;2.9;2.65;1.58;1.4;2.22;1.88;5.2;2.4
11:00;Sub;25.10.;RUS2;Ufa;Neftekhimik;496;2.37;2.9;3.15;1.37;1.62;2.8;2.3;6.6;3.2
11:00;Sub;25.10.;ŠVE2;Umea FC;Varberg;530;2.95;3.75;2.08;2.15;1.18;1.62;1.57;3.7;1.83
11:00;Sub;25.10.;ŠVE3;Ariana FC;Olympic;501;1.95;3.8;3.25;2.2;1.17;1.6;1.55;3.65;1.8
11:00;Sub;25.10.;ŠVE3;Trollhattan;Jonkopings;500;3.1;3.4;2.13;1.95;1.24;1.75;1.65;4.1;1.97
11:00;Sub;25.10.;ŠVE3;IFK Stocksund;Enkopings SK;503;2.95;3.9;2.05;2.75;1.09;1.4;1.38;3.05;1.55
11:00;Sub;25.10.;ŠVE3;Sollentuna;United Nordic;501;5.35;4.2;1.5;2.45;1.13;1.48;1.58;3.65;1.78
11:00;Sub;25.10.;TAJ1;Ayutthaya Utd;Chonburi;500;2.15;3.5;3.0;2.0;1.23;1.73;1.63;4.0;1.95
11:00;Sub;25.10.;TAJ2;Songkhla FC;Mahasarakham United FC;501;2.7;3.05;2.43;1.7;1.34;2.02;1.8;4.7;2.23
11:00;Sub;25.10.;TAN;Mashujaa;Namungo;;2.03;2.9;3.65;1.52;1.45;2.35;2.02;;
11:00;Sub;25.10.;TUR4;Artvin Hopaspor;Orduspor 1967;500;6.3;3.55;1.5;1.65;1.37;2.12;2.22;6.0;2.75
11:00;Sub;25.10.;VIJ1;Binh Duong;Hanoi FC;501;4.6;3.9;1.65;2.05;1.21;1.7;1.72;4.2;2.02
11:00;Sub;25.10.;VIJ1;PVF-CAND;Phu Dong Ninh Binh;500;5.6;3.6;1.6;1.65;1.35;2.1;2.1;5.6;2.6
11:15;Sub;25.10.;IRN2;Shahrdari Noshahr;Ario Eslamshahr;496;2.75;2.85;2.55;1.37;1.62;2.85;2.32;6.6;3.2
11:15;Sub;25.10.;POL3;Hutnik Krakow;Zaglebie Sosnowiec;502;2.35;3.7;2.55;2.35;1.15;1.52;1.47;3.4;1.7
11:30;Sub;25.10.;DAN3;VSK Aarhus;Roskilde;500;6.3;4.15;1.45;2.2;1.17;1.6;1.72;4.15;1.97
11:30;Sub;25.10.;DAN4;Lyseng;Sundby;500;2.55;3.55;2.3;2.15;1.18;1.62;1.55;3.65;1.8
11:30;Sub;25.10.;ENG2;Coventry;Watford;3169;1.5;4.2;6.2;2.25;1.18;1.65;1.7;4.15;2.03
11:30;Sub;25.10.;ENG2;Ipswich;West Brom;3403;1.83;3.65;4.15;1.85;1.29;1.95;1.83;4.65;2.3
11:30;Sub;25.10.;ENG2;Portsmouth;Stoke;3106;2.65;3.25;2.65;1.77;1.32;2.05;1.77;4.6;2.27
11:30;Sub;25.10.;ENG3;Bolton;Cardiff;530;1.95;3.6;3.35;2.05;1.21;1.68;1.6;3.9;1.9
11:30;Sub;25.10.;ENG3;Mansfield;Wigan;530;2.4;3.1;2.9;1.6;1.4;2.18;1.9;5.1;2.42
11:30;Sub;25.10.;ENG4;Cheltenham;Walsall;530;4.25;3.3;1.83;1.72;1.33;2.0;1.85;4.9;2.28
11:30;Sub;25.10.;ENG4;Fleetwood;Accrington;530;2.05;3.35;3.3;1.8;1.29;1.9;1.75;4.45;2.13
11:30;Sub;25.10.;ENG5;Halifax;York City;530;3.75;3.75;1.8;2.07;1.2;1.67;1.65;3.95;1.93
11:30;Sub;25.10.;ENG21;Sunderland U21;Stoke City U21;503;1.82;4.05;3.2;3.05;1.07;1.33;1.35;2.9;1.5
11:30;Sub;25.10.;EST1;Harju JK Laagri;Narva;501;4.0;4.0;1.7;2.35;1.15;1.52;1.55;3.6;1.77
11:30;Sub;25.10.;EST1;Kuressaare;Kalju;502;5.75;4.6;1.45;2.6;1.11;1.45;1.6;3.65;1.78
11:30;Sub;25.10.;HRV2;Opatija;Bijelo Brdo;500;2.25;2.9;3.35;1.48;1.5;2.45;2.05;5.8;2.7
11:30;Sub;25.10.;KIN2;Dingnan Ganlian;Dalian Kuncheng;501;2.7;3.3;2.4;1.75;1.32;1.97;1.78;4.55;2.2
11:30;Sub;25.10.;KIN2;Foshan Nanshi;Shanghai Jiading Huilong;500;1.97;3.2;3.75;1.67;1.35;2.07;1.87;5.0;2.33
11:30;Sub;25.10.;KIN2;Qingdao Red Lions;Nanjing City;501;3.05;3.45;2.12;1.88;1.26;1.82;1.7;4.25;2.05
11:30;Sub;25.10.;SIN1;Young Lions;Geylang;501;8.2;6.0;1.26;3.6;1.04;1.24;1.55;3.3;1.65
11:30;Sub;25.10.;SVK2;Inter Bratislava;Slavia TU Kosice;500;1.45;4.4;6.1;2.35;1.15;1.52;1.68;3.95;1.9
11:30;Sub;25.10.;SVK2;Lehota pod Vtacnikom;Banska Bystrica;499;7.3;4.3;1.4;2.12;1.19;1.65;1.83;4.5;2.1
11:30;Sub;25.10.;SVK2;Lubovna;Slovan Bratislava B;501;2.07;3.6;3.1;1.98;1.23;1.73;1.65;4.0;1.95
11:30;Sub;25.10.;SVK2;Puchov;Liptovsky Mikulas;501;2.9;3.65;2.15;2.12;1.19;1.65;1.57;3.75;1.85
11:30;Sub;25.10.;SVK2;Samorin;Malzenice;501;1.82;3.65;3.8;2.2;1.17;1.6;1.55;3.7;1.8
